Scenario,RMSE_rad_s,MAE_rad_s,Bias_rad_s,BiasSquared,Variance,RMSESquared,IntegratedPSD,PSDVarianceDiffPct,FFTPSDVariance,FFTPSDDiffPct
S2 - Nhieu thap,2.3571195491e-02,1.3886070786e-02,1.0049099323e-02,1.0098439720e-04,4.5461685967e-04,5.5560125688e-04,9.4352604969e-06,97.924569,4.5461685967e-04,0.00000000
S3 - Nhieu cao,3.1375286829e-02,2.5081661177e-02,2.1868907692e-02,4.7824912366e-04,5.0615949993e-04,9.8440862358e-04,4.4413317414e-05,91.225430,5.0615949993e-04,0.00000000
