Scenario_Name,Position_RMSE,Speed_M_RMSE,Speed_T_RMSE,Speed_Hybrid_RMSE,Delay_Approx
S1: Nominal,0.000908532207370581,0.0743238782918521,0.0170437015837848,0.000760557987617403,N/A
S2: Low Noise,0.00242706063409289,0.0743012359049304,0.321811227109843,0.0126910634958169,N/A
S3: High Noise,0.00242691641777474,0.0743012359049304,0.334725322924195,0.0245801402388044,N/A
S4: Parameter Drift,0.000989762241467823,0.0743182183418478,1.14924165870653,0.125673086915954,N/A
S5: Acquisition Fault,0.261737883185948,15.1150199856562,6.66761120394708,11.1074226584995,N/A
